YYYYMM,Value,Description,Unit
199912,157495.528,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200001,178149.861,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200002,159302.963,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200003,156885.142,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200004,142133.022,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200005,155531.097,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200006,168867.552,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200007,174535.865,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200008,181461.803,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200009,162057.856,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200010,159132.19,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200011,155601.33,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200012,172605.915,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200101,177287.111,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200102,149735.484,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200103,155269.011,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200104,140670.654,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200105,151592.914,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200106,162615.804,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200107,179060.41,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200108,183116.073,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200109,154158.317,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200110,148930.816,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200111,144116.998,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200112,157402.35,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200201,164358.019,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200202,143048.821,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200203,151485.651,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200204,142304.594,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200205,151406.4,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200206,164667.696,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200207,183194.702,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200208,179955.447,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200209,165366.309,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200210,159099.295,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200211,156053.655,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200212,172189.765,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200301,181313.153,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200302,156982.482,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200303,155001.775,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200304,141959.981,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200305,150262.977,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200306,162284.631,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200307,181852.319,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200308,185331.824,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
