Date,Price,Open,High,Low,Volume,Change(%)
20-Sep-21,1687.85,1685,1707.7,1677.95,5660743,-0.20%
17-Sep-21,1691.3,1697,1718,1684.45,7454864,-0.64%
16-Sep-21,1702.25,1715.2,1719.25,1691.45,3246568,-0.54%
15-Sep-21,1711.45,1693.25,1715.1,1690.2,4062344,1.50%
14-Sep-21,1686.15,1695.95,1695.95,1678.6,4945167,-0.34%
13-Sep-21,1691.9,1683,1701.5,1675.2,4662374,0.02%
9-Sep-21,1691.6,1685.9,1694.9,1682.15,3331674,-0.10%
8-Sep-21,1693.25,1700.85,1700.85,1682.95,4584896,-0.79%
7-Sep-21,1706.65,1730,1734.9,1704,3520341,-1.37%
6-Sep-21,1730.4,1705.15,1732,1699.35,4876026,1.75%
3-Sep-21,1700.65,1696.05,1705.95,1684.4,5339139,0.68%
2-Sep-21,1689.1,1677.35,1694.3,1662.65,6830050,0.68%
1-Sep-21,1677.75,1709.5,1709.5,1673.15,7801974,-1.68%
31-Aug-21,1706.45,1700.15,1715,1685.85,12255438,0.49%
30-Aug-21,1698.05,1703.05,1718.65,1690.4,6559667,-0.63%
27-Aug-21,1708.8,1725,1727.7,1705.2,6698514,-1.09%
26-Aug-21,1727.7,1734,1746,1720,5302248,-0.45%
25-Aug-21,1735.55,1718,1746.9,1718,6153253,0.85%
24-Aug-21,1720.85,1750,1757,1712.7,7602939,-1.03%
23-Aug-21,1738.75,1735.75,1753.15,1732,6189051,0.33%
20-Aug-21,1732.95,1716.1,1745,1716.1,6206972,-0.03%
18-Aug-21,1733.45,1729,1755.5,1727,6686090,-0.47%
17-Aug-21,1741.65,1703.9,1748.9,1686.55,9510390,2.19%
16-Aug-21,1704.4,1707.7,1719.95,1690.1,4564109,-0.46%
13-Aug-21,1712.2,1697,1722.5,1691.3,5612790,1.34%
12-Aug-21,1689.6,1679.15,1696.5,1674,5659579,0.72%
11-Aug-21,1677.55,1674.8,1684,1668,4899639,0.02%
10-Aug-21,1677.25,1668,1680,1661.05,6846517,0.84%
9-Aug-21,1663.3,1661,1667.45,1646.4,5018477,0.79%
6-Aug-21,1650.2,1657,1660.65,1644,3754855,-0.20%
5-Aug-21,1653.55,1649.5,1666,1647.05,5420536,0.26%
4-Aug-21,1649.25,1669.1,1679.9,1639.05,6740391,-0.36%
3-Aug-21,1655.2,1647,1658.65,1635.6,5513668,1.45%
2-Aug-21,1631.55,1627.45,1634.75,1619.2,5553389,1.31%
30-Jul-21,1610.5,1610,1623.4,1606.15,6234257,-0.40%
29-Jul-21,1617,1600.1,1620,1600.1,4660873,0.71%
28-Jul-21,1605.6,1605.1,1607.6,1585.5,4686788,0.19%
27-Jul-21,1602.55,1605,1609.3,1597.9,5892859,-0.08%
26-Jul-21,1603.9,1594.1,1611.65,1594.1,4586710,0.85%
23-Jul-21,1590.45,1588.55,1598.5,1585.05,4179719,0.02%
22-Jul-21,1590.2,1561.4,1592.85,1561.4,7854575,2.59%
20-Jul-21,1550.05,1538.3,1557.7,1538,5069939,0.54%
19-Jul-21,1541.7,1544.7,1552.9,1537.55,5669162,-0.88%
16-Jul-21,1555.45,1573.75,1574.65,1549.6,6265593,-1.60%
15-Jul-21,1580.8,1557.9,1596.85,1556,10021355,0.25%
14-Jul-21,1576.9,1554,1582.8,1538.1,5657716,2.07%
13-Jul-21,1544.95,1556.4,1556.4,1536.3,4456160,-0.19%
12-Jul-21,1547.85,1570.55,1578,1533.75,4588982,-0.96%
9-Jul-21,1562.9,1556,1569.9,1551,3436594,0.14%
8-Jul-21,1560.75,1568,1576,1549,3326813,-0.25%
7-Jul-21,1564.6,1566.05,1570.55,1544.65,4797120,0.15%
6-Jul-21,1562.2,1573.7,1586.75,1557.1,4089574,-1.06%
5-Jul-21,1578.95,1569.15,1585,1561.05,4058338,0.71%
2-Jul-21,1567.8,1558.95,1569.45,1542.6,5166064,0.47%
1-Jul-21,1560.4,1576.85,1576.85,1559.05,4814317,-1.29%
30-Jun-21,1580.8,1572.05,1591,1572.05,6058722,1.14%
29-Jun-21,1563.05,1561,1573.65,1559.2,5913567,-0.56%
28-Jun-21,1571.8,1572.9,1580.15,1560.6,5019178,-0.15%
25-Jun-21,1574.2,1572,1578,1543,9780240,0.96%
24-Jun-21,1559.2,1517,1568.75,1511.2,10785137,3.73%
23-Jun-21,1503.15,1525,1525,1498.65,5529809,-0.58%
22-Jun-21,1511.85,1509.7,1521.45,1502.1,6427862,0.77%
21-Jun-21,1500.3,1493,1505.8,1484.2,5454052,-0.20%
18-Jun-21,1503.3,1509,1515.8,1487.4,13533974,0.54%
17-Jun-21,1495.3,1475.1,1502.65,1475.1,7677951,0.99%
16-Jun-21,1480.6,1472.7,1489.45,1467.5,7661710,0.45%
15-Jun-21,1473.9,1464,1476,1463,5403104,0.83%
14-Jun-21,1461.8,1471,1477,1453.45,7132294,1.03%
11-Jun-21,1446.9,1430.1,1451.6,1429.45,6140828,1.59%
10-Jun-21,1424.3,1424,1429,1419,3496575,0.64%
9-Jun-21,1415.3,1413.4,1425,1404.6,5394317,0.17%
8-Jun-21,1412.95,1396,1421.75,1395.55,7360630,1.68%
7-Jun-21,1389.65,1391,1392,1377.3,5154576,0.29%
4-Jun-21,1385.65,1393.95,1396.9,1377.65,4194328,-0.29%
3-Jun-21,1389.65,1388.1,1399,1377.05,5115645,0.80%
2-Jun-21,1378.65,1380.75,1391.95,1365,9272276,-0.62%
1-Jun-21,1387.2,1400,1401,1378.65,4791325,-0.47%
31-May-21,1393.75,1401.5,1401.5,1383,4429904,-0.80%
28-May-21,1405.05,1409.75,1414,1396.1,4261312,0.20%
27-May-21,1402.25,1404.2,1416.25,1391.7,15365391,0.36%
26-May-21,1397.25,1367.9,1400,1362.05,6850024,2.62%
25-May-21,1361.6,1358,1368,1354.45,4099340,1.01%
24-May-21,1348.05,1356.65,1363,1345.1,4225371,-0.48%
21-May-21,1354.5,1347.5,1357.5,1346.35,4969733,1.13%
20-May-21,1339.3,1348.4,1349.1,1335,4490092,0.17%
19-May-21,1337,1342,1357.45,1333.25,4435878,-0.22%
18-May-21,1340,1338,1344.6,1329.5,5620150,0.80%
17-May-21,1329.4,1320.3,1334.95,1320.3,5017129,0.99%
14-May-21,1316.4,1326.85,1326.85,1311.3,4824609,-0.80%
12-May-21,1327,1330,1330,1314.5,5241898,-0.27%
11-May-21,1330.65,1336.9,1341,1325.1,6420988,-0.66%
10-May-21,1339.55,1349.85,1352.9,1335.05,7195348,-0.96%
7-May-21,1352.55,1365.3,1373.05,1348.5,4991435,-0.66%
6-May-21,1361.6,1345,1364.7,1337.4,4810090,1.50%
5-May-21,1341.5,1341.1,1343.9,1327.8,3939788,0.91%
4-May-21,1329.4,1354,1354.95,1324.1,4887060,-1.68%
3-May-21,1352.05,1340.8,1361,1338,4560337,-0.17%
30-Apr-21,1354.35,1346.3,1373.9,1345.9,8354677,-0.15%
