Date,Price,Open,High,Low,Volume,Change(%)
15-Feb-19,161.65,159.8,162.3,153.15,20705576,1.13%
14-Feb-19,159.85,155.95,161,153.8,16348306,3.13%
13-Feb-19,155,152.95,156.65,151.5,15340343,2.11%
12-Feb-19,151.8,152.95,154.4,150.6,14174912,-0.56%
11-Feb-19,152.65,150.15,153.25,145.85,26161867,1.29%
8-Feb-19,150.7,164.6,164.6,129,102256857,-17.58%
7-Feb-19,182.85,179,185,178.9,16152722,2.44%
6-Feb-19,178.5,176,179.45,171.9,10334594,1.54%
5-Feb-19,175.8,180.7,181.15,174.7,12064426,-2.47%
4-Feb-19,180.25,181,183.7,178.2,11854351,-0.77%
1-Feb-19,181.65,182,185.9,179.55,14931422,0.25%
31-Jan-19,181.2,175.8,183.9,175.8,22277646,3.78%
30-Jan-19,174.6,174.3,176.75,173.3,7757847,0.58%
29-Jan-19,173.6,172.35,174.9,170.9,6141180,0.75%
28-Jan-19,172.3,173.3,175.35,169.4,8167430,-0.55%
25-Jan-19,173.25,175.95,178.9,171.95,12136892,-1.23%
24-Jan-19,175.4,180,180.3,173.7,13461254,-2.69%
23-Jan-19,180.25,181.7,182.7,178.55,9778926,-0.33%
22-Jan-19,180.85,181.5,181.5,175.95,9775717,-0.36%
21-Jan-19,181.5,184.3,184.95,180.65,6918258,-0.98%
18-Jan-19,183.3,185.65,185.65,181.3,6797621,-0.87%
17-Jan-19,184.9,186,187.3,183.4,9365756,-0.30%
16-Jan-19,185.45,186,187.35,184.05,11874245,0.05%
15-Jan-19,185.35,183.3,185.8,181.25,13536578,1.62%
14-Jan-19,182.4,180.3,198.3,177.45,18935120,1.16%
11-Jan-19,180.3,186.55,187.75,179.4,25902974,-2.93%
10-Jan-19,185.75,183.65,186.85,183.55,16961888,1.48%
9-Jan-19,183.05,181.5,183.6,180.2,17468948,1.72%
8-Jan-19,179.95,176.1,180.5,176.1,20128985,2.62%
7-Jan-19,175.35,173.2,178.2,173.2,21438351,2.57%
4-Jan-19,170.95,169,171.95,168.5,17650435,2.95%
3-Jan-19,166.05,169,170.15,165.1,9321842,-1.48%
2-Jan-19,168.55,170.6,171.75,168,13410104,-2.83%
1-Jan-19,173.45,173.5,174.2,171.3,6715543,0.43%
31-Dec-18,172.7,172.45,173.9,171.75,8511388,1.08%
28-Dec-18,170.85,169.4,172.2,169.15,8669584,1.55%
27-Dec-18,168.25,172.75,173.4,167.7,15231581,-1.55%
26-Dec-18,170.9,171.45,172.2,167.6,12044191,-0.93%
